"ftwhite","ftblack","ftmuslim","presjob","srv_spend","crimespend","ideo5","ftpolice","party","age","race_white","female"
99,99,80,3,3,5,3,99,"Republican",52,1,1
70,60,55,2,6,5,1,70,"Democrat",40,0,0
89,40,29,7,1,1,4,89,"Independent",74,1,0
99,NA,13,3,5,4,3,78,"Democrat",55,1,1
75,15,0,7,1,7,5,15,NA,64,1,0
100,50,25,5,NA,3,3,100,"Independent",60,1,1
90,39,6,7,1,3,4,80,"Republican",48,1,0
81,34,31,7,1,3,5,78,"Republican",44,1,0
97,50,47,3,3,4,2,91,"Democrat",51,1,1
100,100,32,5,7,2,2,85,NA,58,1,1
71,92,NA,2,2,4,3,67,"Independent",56,0,1
74,71,75,2,5,4,2,84,"Democrat",27,1,0
50,61,41,7,2,4,4,89,"Independent",66,1,0
69,70,51,3,NA,4,NA,50,"Democrat",49,0,1
81,91,12,2,7,1,3,30,"Democrat",72,1,1
50,45,4,7,3,3,3,69,"Independent",67,1,0
71,59,4,3,4,2,3,60,"Democrat",36,1,1
52,52,9,2,4,3,2,91,"Democrat",50,1,1
50,30,30,2,4,5,3,50,"Democrat",36,1,0
79,99,100,1,7,1,5,59,"Republican",27,0,0
52,50,1,7,1,4,5,87,"Republican",46,1,0
97,71,70,1,6,3,2,85,"Democrat",71,1,0
90,90,88,7,1,7,3,0,"Independent",26,1,1
50,50,13,7,1,4,5,63,NA,70,0,0
50,50,50,1,4,5,3,50,"Democrat",55,0,0
60,76,76,1,7,1,3,81,"Independent",32,0,1
48,56,20,3,4,5,5,58,"Independent",22,1,0
90,89,51,7,2,7,NA,100,"Republican",78,1,1
100,100,0,7,4,3,3,40,"Republican",45,1,1
100,26,16,7,3,4,5,93,"Republican",30,1,1
100,94,84,1,6,2,3,91,"Democrat",65,1,0
50,50,50,7,1,4,5,91,"Republican",33,0,1
89,50,1,7,3,2,5,85,"Republican",74,1,1
100,100,100,1,4,4,1,100,"Democrat",55,0,1
71,90,40,7,3,4,4,100,"Independent",71,1,1
67,75,56,2,4,5,2,50,"Democrat",42,0,0
87,84,75,1,7,1,2,100,"Democrat",64,1,0
69,49,50,4,4,2,2,46,"Independent",39,1,1
75,80,87,1,6,1,1,66,"Democrat",75,1,1
2,93,10,7,4,5,NA,0,"Independent",42,0,0
69,79,41,3,6,3,4,63,"Democrat",48,1,1
50,50,60,6,3,3,4,95,"Republican",59,0,0
78,94,84,2,7,3,3,91,"Democrat",57,0,1
100,50,40,6,3,3,4,60,"Republican",61,1,1
90,81,79,1,6,2,2,87,"Democrat",67,1,0
100,100,50,7,1,7,5,50,"Independent",54,0,0
97,96,95,2,5,2,3,89,"Democrat",65,1,0
86,41,26,6,4,4,4,61,"Republican",63,1,1
59,50,10,7,4,2,3,53,"Republican",57,0,1
88,75,6,3,3,3,3,72,"Democrat",43,0,1
70,63,10,7,7,1,3,88,"Democrat",71,1,1
100,34,34,7,NA,2,3,95,"Republican",57,1,1
50,51,50,2,6,3,1,53,"Democrat",31,1,1
86,81,61,1,5,1,1,60,"Democrat",78,1,1
85,85,81,1,7,2,3,70,"Independent",58,0,0
56,69,72,3,6,3,1,62,"Democrat",60,1,1
